year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party_detailed,writein,candidatevotes,totalvotes
2016,COLORADO,CO,8,84,62,US PRESIDENT,"LYTTLE, BRADFORD",NONVIOLENT RESISTANCE/PACIFIST,False,382,2780220
2016,COLORADO,CO,8,84,62,US PRESIDENT,"ATWOOD, FRANK",APPROVAL VOTING PARTY,False,337,2780220
2016,COLORADO,CO,8,84,62,US PRESIDENT,"EMIDIO """"MIMI"""", SOLTYSIK",SOCIALIST PARTY USA,False,271,2780220
2016,COLORADO,CO,8,84,62,US PRESIDENT,"HEDGES, JAMES",PROHIBITION,False,185,2780220
2016,CONNECTICUT,CT,9,16,1,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,False,897572,1644920
2016,CONNECTICUT,CT,9,16,1,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,673215,1644920
2016,CONNECTICUT,CT,9,16,1,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,False,48676,1644920
2016,CONNECTICUT,CT,9,16,1,US PRESIDENT,"STEIN, JILL",GREEN,False,22841,1644920
2016,CONNECTICUT,CT,9,16,1,US PRESIDENT,,,True,2616,1644920
2016,DELAWARE,DE,10,51,11,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,False,235603,441590
2016,DELAWARE,DE,10,51,11,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,185127,441590
2016,DELAWARE,DE,10,51,11,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,False,14757,441590
2016,DELAWARE,DE,10,51,11,US PRESIDENT,"STEIN, JILL",GREEN,False,6103,441590
2016,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,False,282830,312575
2016,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,12723,312575
2016,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,,,True,6551,312575
2016,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,False,4906,312575
2016,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,"STEIN, JILL",GREEN,False,4258,312575
2016,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,BLANK VOTE,,False,1064,312575
2016,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,OVER VOTE,,False,243,312575
2016,FLORIDA,FL,12,59,43,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,4617886,9420039
2016,FLORIDA,FL,12,59,43,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,False,4504975,9420039
2016,FLORIDA,FL,12,59,43,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,False,207043,9420039
2016,FLORIDA,FL,12,59,43,US PRESIDENT,"STEIN, JILL",GREEN,False,64399,9420039
2016,FLORIDA,FL,12,59,43,US PRESIDENT,"CASTLE, DARRELL L.",CONSTITUTION PARTY,False,16475,9420039
2016,FLORIDA,FL,12,59,43,US PRESIDENT,"DE LA FUENTE, ROQUE """"ROCKY""""",REFORM PARTY,False,9108,9420039
2016,FLORIDA,FL,12,59,43,US PRESIDENT,,,True,153,9420039
2016,GEORGIA,GA,13,58,44,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,2089104,4114732
2016,GEORGIA,GA,13,58,44,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,False,1877963,4114732
2016,GEORGIA,GA,13,58,44,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,False,125306,4114732
2016,GEORGIA,GA,13,58,44,US PRESIDENT,,,True,22359,4114732
2016,HAWAII,HI,15,95,82,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,False,266891,437664
2016,HAWAII,HI,15,95,82,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,128847,437664
